"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.java","851","Sofern ein Kalender mit einer Nextcloud synchronisiert wird, geschieht dies automatisch.\nEine zusätzliche Synchronisation in Intervallen ist nur in Ausnahmefällen sinnvoll, bspw. \nwenn die Nextcloud nicht durchgehend erreichbar ist.\nAuf Geräte mit iOS / macOS kann die Intervallsynchronisation zur doppelten Anzeige von\nTerminen in den Kalender-Apps führen.","jLabel7.setToolTipText(""Sofern ein Kalender mit einer Nextcloud synchronisiert wird, geschieht dies automatisch.\nEine zusätzliche Synchronisation in Intervallen ist nur in Ausnahmefällen sinnvoll, bspw. \nwenn die Nextcloud nicht durchgehend erreichbar ist.\nAuf Geräte mit iOS / macOS kann die Intervallsynchronisation zur doppelten Anzeige von\nTerminen in den Kalender-Apps führen."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.java","854","auf Terminkonflikte prüfen","chkConflictCheck.setText(""auf Terminkonflikte prüfen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.java","857","Bei Erstellen und Bearbeiten von Kalendereinträgen wird auf \nmögliche Terminkonflikte geprüft und eine Warnung angezeigt.","jLabel8.setToolTipText(""Bei Erstellen und Bearbeiten von Kalendereinträgen wird auf \nmögliche Terminkonflikte geprüft und eine Warnung angezeigt."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.java","962","erledigte Termine aus Nextcloud löschen","chkDeleteDone.setText(""erledigte Termine aus Nextcloud löschen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","817","Aktenzeichen-Einstellungen","setTitle(""Aktenzeichen-Einstellungen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","835","Vorschau:","jLabel5.setText(""Vorschau:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","847","Aktenzeichen","jPanel1.setBorder(javax.swing.BorderFactory.createTitledBorder(""Aktenzeichen""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","978","Erweiterung","jPanel2.setBorder(javax.swing.BorderFactory.createTitledBorder(""Erweiterung""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","980","Aktenzeichen um weitere Angaben erweitern","chkExtension.setText(""Aktenzeichen um weitere Angaben erweitern"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","987","Erweiterung trennen durch:","jLabel3.setText(""Erweiterung trennen durch:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","995","Erweiterungsfelder trennen durch:","jLabel4.setText(""Erweiterungsfelder trennen durch:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","1046","Hinweise","lblHint.setText(""Hinweise"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.java","1047","<html>\n<b>Hinweise:</b>\nBei Aktivierung der AZ-Erweiterung <b><i>m&uuml;ssen</i></b> die in der Erweiterung<br/>\ngew&uuml;nschten Daten zwingend vorhanden sein, um eine Akte anlegen oder speichern zu<br/>\nkönnen. Stellen Sie also bspw. sicher, dass jeder Nutzer in der Nutzerverwaltung ein K&uuml;rzel hat, <br/>\nund dass neue und veränderte Akten eine Eigentümergruppe haben.\n</html>","lblHint.setToolTipText(""<html>\n<b>Hinweise:</b>\nBei Aktivierung der AZ-Erweiterung <b><i>m&uuml;ssen</i></b> die in der Erweiterung<br/>\ngew&uuml;nschten Daten zwingend vorhanden sein, um eine Akte anlegen oder speichern zu<br/>\nkönnen. Stellen Sie also bspw. sicher, dass jeder Nutzer in der Nutzerverwaltung ein K&uuml;rzel hat, <br/>\nund dass neue und veränderte Akten eine Eigentümergruppe haben.\n</html>"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.java","742","Gruppe ... wird in diesen Akten verwendet:","lblGroupHint.setText(""Gruppe ... wird in diesen Akten verwendet:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.java","749","Gruppe nicht entfernen","cmdCancel.setText(""Gruppe nicht entfernen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.java","757","Gruppen aktualisieren","cmdRemove.setText(""Gruppen aktualisieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.java","766","Akten in zu dieser Gruppe transferieren:","jLabel1.setText(""Akten in zu dieser Gruppe transferieren:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CustomLauncherOptionsDialog.java","841","Einstellungen","jPanel1.setBorder(javax.swing.BorderFactory.createTitledBorder(""Einstellungen""));"
